Serial No. Of Polling Station,Locality,Polling Area,Winner_Party,Runner_Up_Party,Margin_Of_Victory,Margin_Percentage
6,Kalugumalai,"1.Kalugumalai  (S.P)  Kovilpatti  _  Sankarankovil  Road  Ward  1  ,
2.Kalugumalai  (S.P)  Kasukkara  Street  Ward  5  ,  3.Kalugumalai  (s.p) Muthaian  street  1  ward  5  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,18,3.821656050955414
7,Kalugumalai,"1.Kalugumalai  (S.P)  Narayanasamy  Kovil  Street  1  ward  3  ,  2.Kalugumalai (S.P)  Thanuskodi  Street  ward  3  ,  3.Kalugumalai  (S.P)  NarayanasamyKovil Street  2  Ward  3  ,  4.Kalugumalai  (S.P)  ThirumalikaiStreet  Ward  3  ,
5.Kalugumalai  (s.p)  Ettaiyapuram  road  ward  6  ,  6.Kalugumalai  (S.P) Krishnan  Kovil  Street  ward  4  ,  7.Kalugumalai  (S.P)  Muniasamy  Kovil Street  Ward  4  ,  8.Kalugumalai  (S.P)  Thiruppathiraja  Street  ward  4  ,
999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,10,1.428571428571429
8,Kalugumalai,"1.Kalugumalai  (S.P)  Balasubramaniyan  Street  Ward  4  ,  2.Kalugumalai
(S.P)  Vinayakar  Kalani  Ward  4  ,  3.Kalugumalai  (s.p)  Depobhostreet  ward 6  ,  4.Kalugumalai  (S.P)  Kittange  Street  Ward  6  ,  5.Kalugumalai  (S.P)
Muthu  Veerappasamy  Kovil  Street  Ward  6  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,26,3.606102635228849
11,Kalugumalai,"1.Kalugumalai  (S.G.T.P)  TherkurathaveethiMelpagam  Ward  9  ,
2.Kalugumalai  (S.G.T.P)  AnnaKeelastreet  ,  3.Kalugumalai  (S.G.T.P)
Annathenvadal  sandu,  4.Kalugumalai  (S.G.T.P)  Theyagei  Subbiahstreet, 5.Kalugumalai  (S.G.T.P)  Theyagi  subbiah  Thenvadalsandu,
6.Kalugumalai  (S.G.T.P)  PetchiammanKovilstreet  ,
7.Kalugumalai  (S.G.T.P)  V.O.  Chedambaranar  Street  ,
8.Kalugumalai  (S.G.T.P)  Police  Line  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,3,0.6
12,Kalugumalai,"1.Kalugumalai  (S.P)  Wattaththeru  ,  2.Kalugumalai  (S.P)  Street  3
Wattatheru  ,  3.Kalugumalai  (S.P)  Street  4  Wattatheru  ,  4.Kalugumalai (S.P)  Aranmanai  Vasal  Street  ,  5.Kalugumalai  (S.P)  PeriaKovil
Therukuvasal  Street  ,  6.Kalugumalai  (S.P)  Geriprakara  Melaveethi  , 7.Kalugumalai  (S.P)  Chedambaranar  Street  ,  8.Kalugumalai  (S.P)
Nadutheru  ,  9.Kalugumalai  (S.P)  Therukurathaveethi  ,  10.Kalugumalai (S.P)  Cumpoundar  Street  ,  11.Kalugumalai  (S.P)  Street  3  V.O, Chedambaranar  Street  ,  12.Kalugumalai  (S.P)  Street  4
V.O.Chedambaranar  Street  ,  999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,13,1.805555555555555
18,Karadikulam,"1.Karadikulam  (R.V)  And  (P)  C.r.  colony  block  3  ,  2.Karadikulam(R.C)  And
(P)  C.r.  colony  block  4  ,  3.Karadikulam  (R.V)  And  (P)  C.R.  Colony  Block  5  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,14,1.494130202774813
23,South  Kalugumalai,"1.Southkulugumalai  (t)  Southkulugumalai  block  1  , 2.SouthKulugumalai  (T)  SouthKulugumalai  Block  2  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,31,4.754601226993866
25,"Community  Hall, Kalankaraipatti","1.Kalangaraipatti  (p)  Kalangaraipatti  block  1  ,  2.Kalangaraipatti  (P) Kchilapuram  Block  2  ,  999.OVERSEAS  ELECTORS",All India Anna Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,19,2.490170380078637
27,Vanaramutti,"1.Vanaramutti  (R.V)  And  (P)  Vanaramutti  Block  2  ,  2.Vanaramutti  (R.V) And  (P)  Vanaramutti  Block  3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,31,3.402854006586169
29,Vanaramutti,"1.Vanaramutti  (R.V)  And  (P)  Poomariamman  Kovil  Street  BLock  4  ,
2.Vanaramutti  (R.V)  And  (P)  R.V.Raman  Nagar  Block  4  ,  999.OVERSEAS ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,19,3.512014787430684
33,Sankaralinga puram  Kumarettiya puram,"1.Kumareddiyapuram  (R.V)  And  (P)  Sankaralingapuram  Block  3  , 999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,17,4.899135446685879
35,Kattarankulam,"1.Kattarankulam  (R.V)And  (P)  Chekkadi  street  Block  1  ,  2.Kattarankulam (R.V)  And  (P)  Muthuthalamman  Kovil  Street  Block  1  ,  3.Kattarankulam
(R.V)  And  (P)  East  Street  Block  1  ,  4.Kattarangkulam  (R.V)  And  (P) Chettiar  street  Block  1  ,  5.Kattarankulam  (R.V)  And  (P)  North  Street  Block 1  ,  6.Kattarankulam  (R.V)  And  (P)  South  Colony  Block  1  , 7.Kattarankulam  (R.V)  And  (P)  North  Colony  Block  1  ,  8.Kattarankulam
(R.V)  And  (P)  Nadar  Street  Block  2  ,  9.Kattarankulam  (R.V)  And  (P)  Middle Street  Block  2  ,  10.Kattarankulam  (R.V)  And  (P)  R.C.Street  Block  3  , 11.Kattarankulam  (R.V)  And  (P)  South  Street  Block  3  ,  12.Kattarankulam
(R.V)  And  (P)  Saravanapuram  Block  3  ,  999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,Dravida Munnetra Kazhagam,8,1.030927835051546
36,Kattarankulam,"1.Kattarankulam  (R.V)  And  (P)  Ahilandapuram  2.Kattarankulam  (R.V) And  (P)  Saravanpuram  ,
3.Kattarankulam  (R.V)  And  (P)  Kayatharu  ,
999.OVERSEAS  ELECTORS",Dravida Munnetra Kazhagam,Tamilaga Vettri Kazhagam,8,1.486988847583643
37,Pudhupatti,"1.Kattarankulam  (R.V)  And  (P)  Avudaiammalpuram  , 2.Kattarankulam  (R.V)  And  (P)  Pudhupatti  ,
3.  Kattarankulam  (R.V)  And  (P)  Ramnathapuram  ,
999.OVERSEAS  ELECTORS",Tamilaga Vettri Kazhagam,All India Anna Dravida Munnetra Kazhagam,9,2.147971360381861
